"","palabra","sentimiento","lexicon","valor"
"1","ábaco","confianza","nrc",NA
"2","abad","confianza","nrc",NA
"3","abanderar","negativo","nrc",NA
"4","abandonado","ira","nrc",NA
"5","abandonado","miedo","nrc",NA
"6","abandonado","negativo","nrc",NA
"7","abandonado","tristeza","nrc",NA
"8","abandonar","miedo","nrc",NA
"9","abandonar","negativo","nrc",NA
"10","abandonar","tristeza","nrc",NA
"11","abandono","asombro","nrc",NA
"12","abandono","ira","nrc",NA
"13","abandono","miedo","nrc",NA
"14","abandono","negativo","nrc",NA
"15","abandono","tristeza","nrc",NA
"16","abastecer","positivo","nrc",NA
"17","abeja","ira","nrc",NA
"18","abeja","miedo","nrc",NA
"19","aberración","disgusto","nrc",NA
"20","aberración","negativo","nrc",NA
"21","aberrante","negativo","nrc",NA
"22","abierto","miedo","nrc",NA
"23","abismal","negativo","nrc",NA
"24","abismal","tristeza","nrc",NA
"25","abismo","miedo","nrc",NA
"26","abismo","negativo","nrc",NA
"27","abismo","tristeza","nrc",NA
"28","abogado","confianza","nrc",NA
"29","abogado","disgusto","nrc",NA
"30","abogado","ira","nrc",NA
"31","abogado","miedo","nrc",NA
"32","picapleitos","negativo","nrc",NA
"33","abogado","positivo","nrc",NA
"34","abolición","negativo","nrc",NA
"35","abolir","ira","nrc",NA
"36","abolir","negativo","nrc",NA
"37","abominable","disgusto","nrc",NA
"38","abominable","miedo","nrc",NA
"39","abominable","negativo","nrc",NA
"40","abominación","disgusto","nrc",NA
"41","abominación","ira","nrc",NA
"42","abominación","miedo","nrc",NA
"43","abominación","negativo","nrc",NA
"44","abordar","asombro","nrc",NA
"45","abordar","ira","nrc",NA
"46","aborrecer","disgusto","nrc",NA
"47","aborrecer","ira","nrc",NA
"48","aborrecer","miedo","nrc",NA
"49","aborrecer","negativo","nrc",NA
"50","aborrecible","disgusto","nrc",NA
"51","aborrecible","ira","nrc",NA
"52","aborrecible","miedo","nrc",NA
"53","aborrecible","negativo","nrc",NA
"54","aborrecimiento","disgusto","nrc",NA
"55","aborrecimiento","negativo","nrc",NA
"56","abortar","negativo","nrc",NA
"57","abortivo","negativo","nrc",NA
"58","abortivo","tristeza","nrc",NA
"59","aborto","disgusto","nrc",NA
"60","aborto","miedo","nrc",NA
"61","aborto","negativo","nrc",NA
"62","aborto","tristeza","nrc",NA
"63","abrasador","ira","nrc",NA
"64","abrasador","negativo","nrc",NA
"65","abrasión","negativo","nrc",NA
"66","abrazar","alegría","nrc",NA
"67","abrazar","asombro","nrc",NA
"68","abrazar","confianza","nrc",NA
"69","abrazar","positivo","nrc",NA
"70","abrazar","premonición","nrc",NA
"71","abrazo","alegría","nrc",NA
"72","abrazo","confianza","nrc",NA
"73","abrazo","positivo","nrc",NA
"74","abrigo","confianza","nrc",NA
"75","abrigo","positivo","nrc",NA
"76","abrogar","negativo","nrc",NA
"77","abrumado","negativo","nrc",NA
"78","abrumado","tristeza","nrc",NA
"79","abrumador","ira","nrc",NA
"80","abrumador","miedo","nrc",NA
"81","abrumador","negativo","nrc",NA
"82","abrumador","positivo","nrc",NA
"83","abrumar","negativo","nrc",NA
"84","abrupto","asombro","nrc",NA
"85","absceso","negativo","nrc",NA
"86","absceso","tristeza","nrc",NA
"87","absentismo","negativo","nrc",NA
"88","absolución","alegría","nrc",NA
"89","absolución","confianza","nrc",NA
"90","absolución","positivo","nrc",NA
"91","absoluto","positivo","nrc",NA
"92","absorbido","positivo","nrc",NA
"93","absorto","alegría","nrc",NA
"94","absorto","asombro","nrc",NA
"95","absorto","confianza","nrc",NA
"96","absorto","positivo","nrc",NA
"97","absurdo","disgusto","nrc",NA
"98","absurdo","negativo","nrc",NA
"99","absurdo","tristeza","nrc",NA
"100","abucheo","negativo","nrc",NA
"101","abuela","positivo","nrc",NA
"102","abuelo","confianza","nrc",NA
"103","abundancia","alegría","nrc",NA
"104","abundancia","confianza","nrc",NA
"105","abundancia","disgusto","nrc",NA
"106","abundancia","negativo","nrc",NA
"107","abundancia","positivo","nrc",NA
"108","abundancia","premonición","nrc",NA
"109","abundante","alegría","nrc",NA
"110","abundante","negativo","nrc",NA
"111","abundante","positivo","nrc",NA
"112","abundante","premonición","nrc",NA
"113","aburrido","negativo","nrc",NA
"114","aburrido","tristeza","nrc",NA
"115","aburrimiento","negativo","nrc",NA
"116","aburrimiento","tristeza","nrc",NA
"117","abuso","disgusto","nrc",NA
"118","abuso","ira","nrc",NA
"119","abuso","miedo","nrc",NA
"120","abuso","negativo","nrc",NA
"121","abuso","tristeza","nrc",NA
"122","abusón","ira","nrc",NA
"123","abusón","miedo","nrc",NA
"124","abusón","negativo","nrc",NA
"125","abyecto","disgusto","nrc",NA
"126","abyecto","negativo","nrc",NA
"127","academia","positivo","nrc",NA
"128","académico","confianza","nrc",NA
"129","académico","positivo","nrc",NA
"130","acantilado","miedo","nrc",NA
"131","ácaro","disgusto","nrc",NA
