"","word","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad","tipo"
"1","población",1.8,2,2.6,0.4472,0.7071,0.5477,"sustantivo"
"2","obra",2.2,2.4,2.4,0.4472,0.5477,0.8944,"sustantivo"
"3","amor",3,2.6,2.4,0,0.5477,0.8944,"sustantivo"
"4","especie",2.2,1.8,2.6,0.4472,0.4472,0.8944,"sustantivo"
"5","nombre",2.1667,1.5,2.1667,0.4082,0.5477,0.7528,"sustantivo"
"6","solo",1.4,1.8,3,0.5477,0.4472,0,"adjetivo"
"7","corazón",2.8,2.4,3,0.4472,0.5477,0,"sustantivo"
"8","grande",2,1.8,2.6,0,0.4472,0.8944,"adjetivo"
"9","ojo",2.2,1.8,3,0.4472,0.4472,0,"sustantivo"
"10","bueno",3,2.2,2.6,0,0.8367,0.5477,"adjetivo"
"11","junto",2.6,2.2,2.6,0.5477,0.4472,0.5477,"adverbio"
"12","tiempo",2,2,2.2,0.7071,0.7071,0.8367,"sustantivo"
"13","nuevo",2.8,1.6,2.6,0.4472,0.5477,0.5477,"adjetivo"
"14","mirada",2.4,2.6,2.8,0.5477,0.5477,0.4472,"sustantivo"
"15","cuerpo",2,2.2,3,0,0.4472,0,"sustantivo"
"16","tipo",1.8,2,1.2,0.4472,0,0.4472,"sustantivo"
"17","cosa",2,2,1.6,0,0,0.8944,"sustantivo"
"18","propio",2.4,2,2.6,0.5477,0.7071,0.5477,"adjetivo"
"19","más",2.8,2.2,2.2,0.4472,0.4472,0.8367,"adverbio"
"20","canción",3,2,3,0,1,0,"sustantivo"
"21","agua",2.6,2,3,0.5477,0.7071,0,"sustantivo"
"22","aire",2.6,2,2.2,0.5477,0.7071,1.0954,"sustantivo"
"23","voz",2.4,2.8,2.8,0.5477,0.4472,0.4472,"sustantivo"
"24","mar",2.8,2.6,3,0.4472,0.8944,0,"sustantivo"
"25","río",2.6,2.4,2.8,0.5477,0.8944,0.4472,"sustantivo"
"26","dolor",1,2.6,2.8,0,0.5477,0.4472,"sustantivo"
"27","caso",2,1.8,1.4,0,0.4472,0.8944,"sustantivo"
"28","historia",2.4,2,2,0.5477,0.7071,1,"sustantivo"
"29","región",2,1.8,1.6,0,0.4472,0.8944,"sustantivo"
"30","último",1.6,1.8,2.2,0.5477,0.8367,0.8367,"adjetivo"
"31","hermano",2.6,2.2,2.8,0.5477,0.4472,0.4472,"sustantivo"
"32","lugar",2,1.6,2,0,0.5477,0.7071,"sustantivo"
"33","junto",2.4,2.2,2.4,0.5477,0.8367,0.8944,"adjetivo"
