"","palabra","media_agrado","media_activacion","media_imaginabilidad"
"1","población",-0.2,0,0.6
"2","obra",0.2,0.4,0.4
"3","dormir",1,-0.6,1
"4","dar",0.8,1,1
"5","realizar",0.6,1,0.8
"6","haber",0,-0.2,-0.2
"7","amor",1,0.6,0.4
"8","aparecer",0,0.6,0.6
"9","seguir",0.4,0.6,0.8
"10","especie",0.2,-0.2,0.6
"11","dejar",-0.4,1,1
"12","nombre",0.167,-0.5,0.167
"13","solo",-0.6,-0.2,1
"14","corazón",0.8,0.4,1
"15","lograr",1,1,0.6
"16","entender",1,0.8,0.6
"17","acercar",0.2,1,0.6
"18","grande",0,-0.2,0.6
"19","ojo",0.2,-0.2,1
"20","bueno",1,0.2,0.6
"21","trabajar",0.6,1,1
"22","permitir",0.8,1,0.4
"23","junto",0.6,0.2,0.6
"24","hablar",0.2,1,1
"25","hacer",0.4,1,0.8
"26","tiempo",0,0,0.2
"27","nuevo",0.8,-0.4,0.6
"28","mirada",0.4,0.6,0.8
"29","entrar",0.2,1,1
"30","cuerpo",0,0.2,1
"31","tipo",-0.2,0,-0.8
"32","cosa",0,0,-0.4
"33","volver",-0.4,0.2,0.4
"34","propio",0.4,0,0.6
"35","más",0.8,0.2,0.2
"36","llamar",0.2,1,1
"37","canción",1,0,1
"38","alcanzar",1,1,0.8
"39","pensar",0.8,0.6,1
"40","agua",0.6,0,1
"41","aire",0.6,0,0.2
"42","jugar",1,1,1
"43","voz",0.4,0.8,0.8
"44","poder",0.8,0.8,0.2
"45","sentar",0.4,0.6,0.8
"46","mar",0.8,0.6,1
"47","mirar",0.4,0.8,1
"48","río",0.6,0.4,0.8
"49","dolor",-1,0.6,0.8
"50","caso",0,-0.2,-0.6
"51","mantener",-0.2,1,-0.4
"52","historia",0.4,0,0
"53","región",0,-0.2,-0.4
"54","abrir",0.4,1,1
"55","último",-0.4,-0.2,0.2
"56","hermano",0.6,0.2,0.8
"57","lugar",0,-0.4,0
"58","junto",0.4,0.2,0.4
"59","presentar",0.4,1,0.4
"60","producir",0.4,1,0.2
"61","estar",0.8,0.2,0.4
"62","venir",0.4,1,1
"63","palabra",0,0.2,0.2
"64","habitante",0.5,-0.167,0.833
"65","fin",0,0.2,0.2
"66","sólo",0,-0.2,0
"67","alma",0.5,0,-0.5
"68","rey",-0.167,0,0.167
"69","mundo",0.4,0,0.8
"70","ser",0.4,0.4,0.2
"71","número",0.167,-0.167,0.667
"72","considerar",0.333,0.5,-0.333
"73","querer",1,0.8,0.4
"74","recordar",0.333,0.333,0.333
"75","amar",1,1,0.667
"76","creer",0.6,0.6,0.2
"77","pedir",-0.5,0.5,0.5
"78","caer",-0.5,-0.333,0.333
"79","siguiente",0.167,0.333,0.167
"80","trabajo",0.333,0.667,0.5
"81","nacional",0.4,0.2,0.8
"82","convertir",-0.2,1,0
"83","tener",0.6,-0.2,0.8
"84","lado",0,-0.4,0.4
"85","punto",0,-0.4,0.6
"86","esperar",-0.8,-1,0.8
"87","amigo",1,0.4,1
"88","manera",0,0,-0.8
"89","total",0,-0.2,-0.4
"90","poder",0.4,0.8,0.4
"91","ubicar",-0.2,1,0.4
"92","crear",1,1,0.2
"93","calle",0,-0.4,0.8
"94","terminar",0.2,1,0.8
"95","forma",0.2,-0.2,-0.6
"96","sistema",0.2,0.2,-0.8
"97","año",0,-0.2,1
"98","existir",0.6,0.2,-0.2
"99","hijo",0.6,0.2,1
"100","partir",0,0.8,0.6
"101","comenzar",0.6,1,0.8
"102","luz",0.6,0,1
"103","buscar",0.2,1,0.8
"104","paso",0,0.4,0.2
"105","vida",0.8,0.2,0.4
"106","país",0.2,-0.2,0.8
"107","encontrar",0.6,0.6,1
"108","decidir",0.2,1,-0.2
"109","parte",0,-0.2,0.8
