"","palabra","sentimiento","lexicon","valor"
"1","ábaco","Confianza","nrc",NA
"2","abad","Confianza","nrc",NA
"3","abanderar","Negativo","nrc",NA
"4","abandonado","Enojo","nrc",NA
"5","abandonado","Miedo","nrc",NA
"6","abandonado","Negativo","nrc",NA
"7","abandonado","Tristeza","nrc",NA
"8","abandonar","Miedo","nrc",NA
"9","abandonar","Negativo","nrc",NA
"10","abandonar","Tristeza","nrc",NA
"11","abandono","Asombro","nrc",NA
"12","abandono","Enojo","nrc",NA
"13","abandono","Miedo","nrc",NA
"14","abandono","Negativo","nrc",NA
"15","abandono","Tristeza","nrc",NA
"16","abastecer","Positivo","nrc",NA
"17","abeja","Enojo","nrc",NA
"18","abeja","Miedo","nrc",NA
"19","aberración","Rechazo","nrc",NA
"20","aberración","Negativo","nrc",NA
"21","aberrante","Negativo","nrc",NA
"22","abierto","Miedo","nrc",NA
"23","abismal","Negativo","nrc",NA
"24","abismal","Tristeza","nrc",NA
"25","abismo","Miedo","nrc",NA
"26","abismo","Negativo","nrc",NA
"27","abismo","Tristeza","nrc",NA
"28","abogado","Confianza","nrc",NA
"29","abogado","Rechazo","nrc",NA
"30","abogado","Enojo","nrc",NA
"31","abogado","Miedo","nrc",NA
"32","picapleitos","Negativo","nrc",NA
"33","abogado","Positivo","nrc",NA
"34","abolición","Negativo","nrc",NA
"35","abolir","Enojo","nrc",NA
"36","abolir","Negativo","nrc",NA
"37","abominable","Rechazo","nrc",NA
"38","abominable","Miedo","nrc",NA
"39","abominable","Negativo","nrc",NA
"40","abominación","Rechazo","nrc",NA
"41","abominación","Enojo","nrc",NA
"42","abominación","Miedo","nrc",NA
"43","abominación","Negativo","nrc",NA
"44","abordar","Asombro","nrc",NA
"45","abordar","Enojo","nrc",NA
"46","aborrecer","Rechazo","nrc",NA
"47","aborrecer","Enojo","nrc",NA
"48","aborrecer","Miedo","nrc",NA
"49","aborrecer","Negativo","nrc",NA
"50","aborrecible","Rechazo","nrc",NA
"51","aborrecible","Enojo","nrc",NA
"52","aborrecible","Miedo","nrc",NA
"53","aborrecible","Negativo","nrc",NA
"54","aborrecimiento","Rechazo","nrc",NA
"55","aborrecimiento","Negativo","nrc",NA
"56","abortar","Negativo","nrc",NA
"57","abortivo","Negativo","nrc",NA
"58","abortivo","Tristeza","nrc",NA
"59","aborto","Rechazo","nrc",NA
"60","aborto","Miedo","nrc",NA
"61","aborto","Negativo","nrc",NA
"62","aborto","Tristeza","nrc",NA
"63","abrasador","Enojo","nrc",NA
"64","abrasador","Negativo","nrc",NA
"65","abrasión","Negativo","nrc",NA
"66","abrazar","Alegría","nrc",NA
"67","abrazar","Asombro","nrc",NA
"68","abrazar","Confianza","nrc",NA
"69","abrazar","Positivo","nrc",NA
"70","abrazar","Anticipación","nrc",NA
"71","abrazo","Alegría","nrc",NA
"72","abrazo","Confianza","nrc",NA
"73","abrazo","Positivo","nrc",NA
"74","abrigo","Confianza","nrc",NA
"75","abrigo","Positivo","nrc",NA
"76","abrogar","Negativo","nrc",NA
"77","abrumado","Negativo","nrc",NA
"78","abrumado","Tristeza","nrc",NA
"79","abrumador","Enojo","nrc",NA
"80","abrumador","Miedo","nrc",NA
"81","abrumador","Negativo","nrc",NA
"82","abrumador","Positivo","nrc",NA
"83","abrumar","Negativo","nrc",NA
"84","abrupto","Asombro","nrc",NA
"85","absceso","Negativo","nrc",NA
"86","absceso","Tristeza","nrc",NA
"87","absentismo","Negativo","nrc",NA
"88","absolución","Alegría","nrc",NA
"89","absolución","Confianza","nrc",NA
"90","absolución","Positivo","nrc",NA
"91","absoluto","Positivo","nrc",NA
"92","absorbido","Positivo","nrc",NA
"93","absorto","Alegría","nrc",NA
"94","absorto","Asombro","nrc",NA
"95","absorto","Confianza","nrc",NA
"96","absorto","Positivo","nrc",NA
"97","absurdo","Rechazo","nrc",NA
"98","absurdo","Negativo","nrc",NA
"99","absurdo","Tristeza","nrc",NA
"100","abucheo","Negativo","nrc",NA
"101","abuela","Positivo","nrc",NA
"102","abuelo","Confianza","nrc",NA
"103","abundancia","Alegría","nrc",NA
"104","abundancia","Confianza","nrc",NA
"105","abundancia","Rechazo","nrc",NA
"106","abundancia","Negativo","nrc",NA
"107","abundancia","Positivo","nrc",NA
"108","abundancia","Anticipación","nrc",NA
"109","abundante","Alegría","nrc",NA
"110","abundante","Negativo","nrc",NA
"111","abundante","Positivo","nrc",NA
"112","abundante","Anticipación","nrc",NA
"113","aburrido","Negativo","nrc",NA
"114","aburrido","Tristeza","nrc",NA
"115","aburrimiento","Negativo","nrc",NA
"116","aburrimiento","Tristeza","nrc",NA
"117","abuso","Rechazo","nrc",NA
"118","abuso","Enojo","nrc",NA
"119","abuso","Miedo","nrc",NA
"120","abuso","Negativo","nrc",NA
"121","abuso","Tristeza","nrc",NA
"122","abusón","Enojo","nrc",NA
"123","abusón","Miedo","nrc",NA
